State,City,Time,Temperature (Â°C),Humidity (%)
Andhra Pradesh,Amaravati,2026-02-22 14:24:36,36.84,25
Arunachal Pradesh,Itanagar,2026-02-22 14:24:37,27.96,18
Assam,Dispur,2026-02-22 14:24:38,31.52,18
Bihar,Patna,2026-02-22 14:24:39,30.12,19
Chhattisgarh,Raipur,2026-02-22 14:24:41,33.92,18
Goa,Panaji,2026-02-22 14:24:42,28.69,66
Gujarat,Gandhinagar,2026-02-22 14:24:43,34.68,13
Haryana,Chandigarh,2026-02-22 14:24:44,27.23,22
Himachal Pradesh,Shimla,2026-02-22 14:24:45,16.05,28
Jharkhand,Ranchi,2026-02-22 14:24:46,29.46,19
Karnataka,Bengaluru,2026-02-22 14:24:47,30.95,25
Kerala,Thiruvananthapuram,2026-02-22 14:24:48,30.35,59
Madhya Pradesh,Bhopal,2026-02-22 14:24:49,31.94,21
Maharashtra,Mumbai,2026-02-22 14:24:50,27.7,61
Manipur,Imphal,2026-02-22 14:24:51,27.35,18
Meghalaya,Shillong,2026-02-22 14:24:53,19.18,32
Mizoram,Aizawl,2026-02-22 14:24:54,28.54,19
Nagaland,Kohima,2026-02-22 14:24:55,22.09,26
Odisha,Bhubaneswar,2026-02-22 14:24:56,35.05,23
Punjab,Chandigarh,2026-02-22 14:24:57,27.23,22
Rajasthan,Jaipur,2026-02-22 14:24:58,28.39,19
Sikkim,Gangtok,2026-02-22 14:24:59,20.52,33
Tamil Nadu,Chennai,2026-02-22 14:25:00,27.69,68
Telangana,Hyderabad,2026-02-22 14:25:01,31.87,28
Tripura,Agartala,2026-02-22 14:25:03,32.88,20
Uttar Pradesh,Lucknow,2026-02-22 14:25:04,29.35,20
Uttarakhand,Dehradun,2026-02-22 14:25:05,25.04,25
West Bengal,Kolkata,2026-02-22 14:25:06,32.85,20
Andaman and Nicobar Islands,Port Blair,2026-02-22 14:25:07,28.7,62
Chandigarh (UT),Chandigarh,2026-02-22 14:25:08,27.23,22
Dadra and Nagar Haveli and Daman and Diu,Daman,2026-02-22 14:25:09,28.68,44
Delhi (UT),New Delhi,2026-02-22 14:25:11,29.0,17
Jammu and Kashmir,Srinagar,2026-02-22 14:25:12,15.77,17
Ladakh,Leh,2026-02-22 14:25:13,-7.19,52
Lakshadweep,Kavaratti,2026-02-22 14:25:14,27.35,76
Puducherry,Puducherry,2026-02-22 14:25:15,29.89,59
